Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
0.585138,-0.047252,-0.807918,0.051466,-0.672666,0.086436,0.731566,0.069718
0.583091,-0.046713,-0.80937,0.052367,-0.672328,0.086406,0.731878,0.069731
0.581476,-0.04623,-0.810484,0.053522,-0.67213,0.086436,0.732056,0.069746
0.580163,-0.045678,-0.811368,0.054827,-0.672035,0.086462,0.732139,0.06976
0.578884,-0.044965,-0.812239,0.056027,-0.671948,0.086443,0.732221,0.069757
0.577575,-0.044159,-0.813141,0.057083,-0.671835,0.086411,0.732331,0.069725
0.57634,-0.043388,-0.813982,0.058169,-0.671729,0.086414,0.732433,0.069675
0.575194,-0.042692,-0.814742,0.059372,-0.67165,0.086423,0.732509,0.069627
0.574088,-0.042026,-0.815464,0.060616,-0.671555,0.086377,0.732605,0.069587
0.572997,-0.041324,-0.816178,0.061808,-0.671446,0.08627,0.732723,0.069536
0.571946,-0.040508,-0.816871,0.062922,-0.671393,0.086121,0.732797,0.06945
0.570978,-0.0395,-0.817516,0.063969,-0.671389,0.085929,0.732833,0.069346
0.570078,-0.038271,-0.818124,0.064957,-0.671357,0.0857,0.732898,0.069246
0.56916,-0.036847,-0.818752,0.065918,-0.671301,0.085459,0.732987,0.069146
0.568154,-0.035292,-0.819435,0.066939,-0.671273,0.085228,0.733049,0.069059
0.567047,-0.03363,-0.820179,0.068073,-0.671271,0.084998,0.733082,0.069003
0.565834,-0.031842,-0.820991,0.069223,-0.671325,0.084789,0.733058,0.068988
0.56454,-0.029976,-0.821862,0.070274,-0.67149,0.084655,0.732919,0.069029
0.563252,-0.028086,-0.822728,0.07125,-0.671655,0.084543,0.732771,0.069123
0.562073,-0.026185,-0.823506,0.072291,-0.671599,0.084337,0.732834,0.069255
0.561036,-0.024324,-0.824161,0.073522,-0.67139,0.084061,0.733046,0.069375
0.560123,-0.02258,-0.824707,0.074902,-0.671295,0.083844,0.733153,0.069427
0.559296,-0.020984,-0.825185,0.076264,-0.67136,0.083732,0.733107,0.069421
0.558455,-0.019487,-0.825673,0.077541,-0.671462,0.083688,0.73302,0.069397
0.557524,-0.017978,-0.826215,0.078824,-0.671504,0.083671,0.732983,0.069409
0.556582,-0.016412,-0.826747,0.080222,-0.671476,0.083668,0.733,0.069503
0.55573,-0.014831,-0.827199,0.081768,-0.671471,0.083649,0.732992,0.069662
0.554985,-0.013217,-0.827564,0.083395,-0.671636,0.083641,0.732828,0.0698
0.554297,-0.011508,-0.827889,0.084986,-0.672068,0.083774,0.732417,0.069799
0.553594,-0.009772,-0.828227,0.086476,-0.672683,0.084106,0.731833,0.0696
0.552876,-0.008139,-0.828575,0.087894,-0.673199,0.084472,0.731339,0.069361
0.552213,-0.006628,-0.828884,0.089261,-0.673412,0.084661,0.731126,0.069312
0.551615,-0.005172,-0.829151,0.090564,-0.673424,0.084666,0.731101,0.069446
0.550984,-0.003782,-0.829442,0.091799,-0.673435,0.084608,0.731084,0.069596
0.550207,-0.002515,-0.829834,0.092964,-0.673508,0.084578,0.73101,0.069698
0.549268,-0.001346,-0.83033,0.094101,-0.673593,0.084572,0.730925,0.069779
0.548245,-0.000174,-0.830865,0.095348,-0.673597,0.084525,0.73092,0.069845
0.5472,0.001055,-0.831385,0.096797,-0.673504,0.084445,0.731011,0.069889
0.54611,0.002305,-0.831912,0.098396,-0.6734,0.08441,0.731107,0.069926
0.54492,0.003482,-0.832495,0.100012,-0.673357,0.084451,0.731137,0.069984
0.543642,0.004522,-0.833145,0.101504,-0.673374,0.084528,0.731103,0.070083
0.542303,0.005464,-0.833851,0.102807,-0.67344,0.084621,0.73102,0.070201
0.540905,0.006391,-0.834611,0.103952,-0.673547,0.08472,0.730899,0.070312
0.539471,0.007329,-0.835392,0.105056,-0.673662,0.08479,0.730773,0.070426
0.538059,0.008251,-0.836142,0.106258,-0.673748,0.084814,0.730677,0.070578
0.536726,0.009104,-0.836813,0.107639,-0.673815,0.084832,0.730596,0.070752
0.535502,0.009766,-0.837384,0.109227,-0.673902,0.08489,0.730498,0.070868
0.534345,0.010158,-0.837894,0.11093,-0.67401,0.084988,0.730383,0.070905
0.533119,0.010483,-0.838473,0.112416,-0.674137,0.085104,0.730251,0.070928
