Sample #,Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
1740,0.714467,-0.05352,-0.683667,0.138822,-0.695675,0.077472,0.710542,0.071869
1741,0.716949,-0.05422,-0.680613,0.140749,-0.695749,0.077394,0.710504,0.071612
1742,0.719183,-0.054945,-0.677751,0.142865,-0.69594,0.076869,0.710398,0.071374
1743,0.721229,-0.055621,-0.675032,0.145142,-0.696285,0.075825,0.710199,0.0711
1744,0.723402,-0.056219,-0.672166,0.147382,-0.696624,0.074835,0.710003,0.070787
1745,0.725904,-0.056818,-0.668941,0.149511,-0.69678,0.074408,0.709925,0.070481
1746,0.728638,-0.057491,-0.665425,0.151628,-0.696787,0.074383,0.709946,0.07022
1747,0.731437,-0.058171,-0.661796,0.15376,-0.696778,0.074438,0.709972,0.069992
1748,0.734197,-0.058714,-0.658194,0.155845,-0.6968,0.074446,0.709971,0.069771
1749,0.73688,-0.059003,-0.654686,0.157837,-0.696813,0.074394,0.709984,0.069566
1750,0.739534,-0.059125,-0.651199,0.159794,-0.696758,0.074349,0.71006,0.069393
1751,0.742256,-0.059389,-0.647542,0.161923,-0.696603,0.07458,0.710203,0.069239
1752,0.745015,-0.059881,-0.643703,0.164357,-0.696345,0.07532,0.710392,0.069092
1753,0.747584,-0.060345,-0.639976,0.167056,-0.696065,0.076182,0.710587,0.068964
1754,0.749821,-0.06064,-0.636572,0.169905,-0.695875,0.076589,0.710739,0.068858
1755,0.751934,-0.060916,-0.633292,0.172703,-0.695777,0.076563,0.710848,0.068754
1756,0.75432,-0.061292,-0.629699,0.175282,-0.695712,0.076423,0.710938,0.068638
1757,0.757106,-0.061757,-0.62562,0.177698,-0.695658,0.07632,0.711013,0.068522
1758,0.76014,-0.062258,-0.621227,0.179964,-0.695626,0.076253,0.711063,0.068407
1759,0.763298,-0.062704,-0.616695,0.182023,-0.69562,0.076201,0.711087,0.068271
1760,0.766487,-0.063182,-0.611989,0.184323,-0.695617,0.076162,0.711111,0.0681
1761,0.769651,-0.063898,-0.606982,0.187424,-0.695588,0.07613,0.711162,0.067901
1762,0.772831,-0.064712,-0.601785,0.190784,-0.695548,0.076086,0.711222,0.067732
1763,0.776124,-0.065382,-0.596602,0.193448,-0.695541,0.076043,0.711237,0.067696
1764,0.779491,-0.066006,-0.591463,0.19547,-0.695594,0.076028,0.711178,0.067786
1765,0.782809,-0.066637,-0.586361,0.19736,-0.69568,0.076032,0.711085,0.067868
1766,0.785962,-0.066952,-0.581527,0.199016,-0.695764,0.076031,0.711004,0.067861
1767,0.788852,-0.066323,-0.57742,0.199752,-0.695831,0.076018,0.710945,0.067806
