Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Clavicle W,Clavicle X,Clavicle Y,Clavicle Z,Thorax W,Thorax X,Thorax Y,Thorax Z,Elbow W,Elbow X,Elbow Y,Elbow Z
-0.115076922,-0.516080618,0.820934117,0.215604573,0.158521354,0.867302179,-0.44880259,-0.145719349,0.674962938,-0.018036738,0.684042394,-0.276017547,-0.115101255,-0.515987992,0.820992291,0.21559155
-0.105283938,-0.679461956,0.692612708,0.218023926,0.196127161,0.953104854,-0.191113576,-0.128844514,0.648810685,-0.147157222,0.723356426,-0.184783474,-0.172811091,-0.405206442,0.881583035,0.16957438
-0.054694492,-0.600340128,0.783826351,0.149052009,0.209763616,0.958031535,-0.189384133,-0.048046026,0.673019528,-0.164025128,0.692900717,-0.200072825,-0.081475936,-0.44399336,0.881851435,0.136270523
0.040587112,-0.508511066,0.853142679,0.109163962,0.22223638,0.943680346,-0.244665325,-0.014742019,0.701507866,-0.157510191,0.654516339,-0.233849451,0.0406189,-0.508759439,0.852994561,0.109152153
-0.033420283,-0.612367809,0.768729687,0.181503102,0.225734144,0.953481078,-0.176375732,-0.093859307,0.661279142,-0.168621153,0.698333979,-0.21588552,-0.067940444,-0.451887667,0.872775614,0.171593636
0.133363456,0.791734099,-0.547985137,-0.23469907,0.499766111,0.852863967,-0.151076198,0.005732651,0.622839689,-0.355140001,0.550103307,-0.428173602,-0.240995944,-0.355950028,0.894667625,0.12161579
-0.031957861,-0.651904941,0.731736183,0.196369231,0.243643969,0.954385042,-0.143718436,-0.09556026,0.660509646,-0.193174303,0.692308664,-0.217070177,-0.082567275,-0.436075479,0.877642274,0.181010619
0.105986334,0.744578362,-0.594122827,-0.28528592,0.246094137,0.948870063,-0.122513242,-0.155157283,0.636255085,-0.205099344,0.71642822,-0.199610487,-0.203992724,-0.472013026,0.827395082,0.225849748
0.15331094,0.786029875,-0.521373034,-0.29465735,0.215939358,0.958112955,-0.062762536,-0.17734319,0.630902827,-0.211803228,0.732493043,-0.143370286,-0.256664366,-0.51830107,0.788058877,0.210833028
0.149445951,0.779285192,-0.551939905,-0.256403536,0.50247705,0.849825919,-0.159081519,-0.00243895,0.616977334,-0.353929639,0.55335784,-0.433437109,-0.264587551,-0.355573744,0.886278987,0.134425774
